source,destination,flow
Jilin,Chongqing,512640
Jilin,Fujian,478550
Jilin,Gansu,141230
Jilin,Guangdong,2413732
Jilin,Guangxi,361539
Jilin,Guizhou,180009
Jilin,Hainan,1111568
Jilin,Hebei,546476
Jilin,Heilongjiang,85505
Jilin,Henan,922061
Jilin,Hong Kong,76072
Jilin,Hubei,603875
Jilin,Hunan,676421
Jilin,Inner Mongolia,428962
Jilin,Jiangsu,2670182
Jilin,Jiangxi,638321
Jilin,Jilin,445160
Jilin,Liaoning,487486
Jilin,Macau,8461
Jilin,Ningxia,185779
Jilin,Qinghai,54867
Jilin,Shaanxi,870738
Jilin,Shandong,4460354
Jilin,Shanghai,3783445
Jilin,Shanxi,448655
Jilin,Sichuan,791939
Jilin,Taiwan,96344
Jilin,Tianjin,991914
Jilin,Tibet,1305
Jilin,Xinjiang,147719
Jilin,Yunnan,436880
Jilin,Zhejiang,2288041
Liaoning,Anhui,1365052
Liaoning,Beijing,4393836
Liaoning,Chongqing,1477691
Liaoning,Fujian,1457915
Liaoning,Gansu,568746
Liaoning,Guangdong,5513846
Liaoning,Guangxi,1202523
Liaoning,Guizhou,916290
Liaoning,Hainan,2007262
Liaoning,Hebei,1301026
Liaoning,Heilongjiang,1541747
Liaoning,Henan,2753299
Liaoning,Hong Kong,182334
Liaoning,Hubei,2269659
Liaoning,Hunan,1585345
Liaoning,Inner Mongolia,1699129
Liaoning,Jiangsu,6707756
Liaoning,Jiangxi,1656760
Liaoning,Jilin,468873
Liaoning,Liaoning,83941
Liaoning,Macau,19936
Liaoning,Ningxia,415411
Liaoning,Qinghai,185805
Liaoning,Shaanxi,2786859
Liaoning,Shandong,7608252
Liaoning,Shanghai,7813285
Liaoning,Shanxi,1710930
Liaoning,Sichuan,2200115
Liaoning,Taiwan,278623
Liaoning,Tianjin,926923
Liaoning,Tibet,32239
Liaoning,Xinjiang,444286
Liaoning,Yunnan,1352588
Liaoning,Zhejiang,4760198
Macau,Anhui,40584
Macau,Beijing,506660
Macau,Chongqing,92932
