Dep State Name,Arr State Name,Total Est. Pax,Time Series
Illinois,Vermont,3346,2020-01
Illinois,Virginia,32460,2020-01
Illinois,Washington,72594,2020-01
Illinois,West Virginia,3727,2020-01
Illinois,Wisconsin,29187,2020-01
Illinois,Wyoming,3915,2020-01
Indiana,Alabama,3883,2020-01
Indiana,Alaska,795,2020-01
Indiana,Arizona,32396,2020-01
Indiana,Arkansas,3479,2020-01
Indiana,California,63380,2020-01
Indiana,Colorado,29356,2020-01
Indiana,Connecticut,3777,2020-01
Indiana,District Of Columbia,20400,2020-01
Indiana,Florida,229809,2020-01
Indiana,Georgia,32701,2020-01
Indiana,Hawaii,6082,2020-01
Indiana,Idaho,1609,2020-01
Indiana,Illinois,24428,2020-01
Indiana,Indiana,1368,2020-01
Indiana,Iowa,3313,2020-01
Indiana,Kansas,1683,2020-01
Indiana,Kentucky,707,2020-01
Indiana,Louisiana,8373,2020-01
Indiana,Maine,1672,2020-01
Indiana,Maryland,11403,2020-01
Indiana,Massachusetts,11151,2020-01
Indiana,Michigan,19541,2020-01
Indiana,Minnesota,16293,2020-01
Indiana,Mississippi,2153,2020-01
Indiana,Missouri,19129,2020-01
Indiana,Montana,1921,2020-01
Indiana,Nebraska,2872,2020-01
Indiana,Nevada,38241,2020-01
Indiana,New Hampshire,1392,2020-01
Indiana,New Jersey,7,2020-01
Indiana,New Mexico,2778,2020-01
Indiana,New York,42637,2020-01
Indiana,North Carolina,22682,2020-01
Indiana,North Dakota,1250,2020-01
Indiana,Ohio,4749,2020-01
Indiana,Oklahoma,4483,2020-01
Indiana,Oregon,6589,2020-01
Indiana,Pennsylvania,19589,2020-01
Indiana,Rhode Island,2527,2020-01
Indiana,South Carolina,8517,2020-01
Indiana,South Dakota,1511,2020-01
Indiana,Tennessee,8312,2020-01
Indiana,Texas,56914,2020-01
Indiana,Utah,5862,2020-01
Indiana,Vermont,718,2020-01
Indiana,Virginia,9345,2020-01
Indiana,Washington,12503,2020-01
Indiana,West Virginia,595,2020-01
Indiana,Wisconsin,8207,2020-01
Indiana,Wyoming,642,2020-01
Iowa,Alabama,1643,2020-01
Iowa,Alaska,449,2020-01
Iowa,Arizona,28012,2020-01
Iowa,Arkansas,1518,2020-01
Iowa,California,28432,2020-01
Iowa,Colorado,18429,2020-01
Iowa,Connecticut,1691,2020-01
Iowa,District Of Columbia,9584,2020-01
Iowa,Florida,60934,2020-01
Iowa,Georgia,8275,2020-01
Iowa,Hawaii,4350,2020-01
Iowa,Idaho,1197,2020-01
Iowa,Illinois,29361,2020-01
Iowa,Indiana,3207,2020-01
Iowa,Iowa,2112,2020-01
Iowa,Kansas,1416,2020-01
Iowa,Kentucky,2235,2020-01
Iowa,Louisiana,3201,2020-01
Iowa,Maine,405,2020-01
Iowa,Maryland,2318,2020-01
Iowa,Massachusetts,3655,2020-01
Iowa,Michigan,6883,2020-01
Iowa,Minnesota,17011,2020-01
Iowa,Mississippi,1014,2020-01
Iowa,Missouri,16712,2020-01
Iowa,Montana,1726,2020-01
Iowa,Nebraska,629,2020-01
Iowa,Nevada,13638,2020-01
Iowa,New Hampshire,373,2020-01
Iowa,New Mexico,1022,2020-01
Iowa,New York,13471,2020-01
Iowa,North Carolina,9859,2020-01
Iowa,North Dakota,1330,2020-01
Iowa,Ohio,7654,2020-01
Iowa,Oklahoma,2041,2020-01
Iowa,Oregon,3299,2020-01
Iowa,Pennsylvania,7365,2020-01
Iowa,Rhode Island,631,2020-01
Iowa,South Carolina,2608,2020-01
Iowa,South Dakota,791,2020-01
